time,opsviewCPU
6/3/2019 0:30,6.911477778
6/3/2019 1:00,7.274072222
6/3/2019 1:30,6.978477778
6/3/2019 2:00,7.133333333
6/3/2019 2:30,6.931505556
6/3/2019 3:00,7.247522222
6/3/2019 3:30,6.676994444
6/3/2019 4:00,6.919883333
6/3/2019 4:30,6.646294444
6/3/2019 5:00,6.961294444
6/3/2019 5:30,6.549288889
6/3/2019 6:00,7.156488889
6/3/2019 6:30,6.704222222
6/3/2019 7:00,6.874483333
6/3/2019 7:30,6.2655
6/3/2019 8:00,6.643994444
6/3/2019 8:30,6.663855556
6/3/2019 9:00,7.074094444
6/3/2019 9:30,6.857133333
6/3/2019 10:00,6.864288889
6/3/2019 10:30,6.725905556
6/3/2019 11:00,6.862444444
6/3/2019 11:30,6.695694444
6/3/2019 12:00,7.040911111
6/3/2019 12:30,6.756405556
6/3/2019 13:00,7.149916667
6/3/2019 13:30,6.721811111
6/3/2019 14:00,6.509222222
6/3/2019 14:30,6.341088889
6/3/2019 15:00,6.578361111
6/3/2019 15:30,6.362494444
